title,author,venue,year,class
Querying multi-dimensional data indexed using the Hilbert space-filling curve,"J. K. Lawder, P. J. H. King",ACM SIGMOD Record ,2001,ID936
Re-designing distance functions and distance-based applications for high dimensional data,Charu C. Aggarwal,ACM SIGMOD Record ,2001,ID935
EIHA?!?: deploying Web and WAP services using XML technology,"Chiara Biancheri, Jean-Christophe Pazzaglia, Gavino Paddeu",ACM SIGMOD Record ,2001,ID933
New TPC benchmarks for decision support and web commerce,"Meikel Poess, Chris Floyd",ACM SIGMOD Record ,2000,ID953
Constraints for semistructured data and XML,"Peter Buneman, Wenfei Fan, J&#233;r&#244;me Sim&#233;on, Scott Weinstein",ACM SIGMOD Record ,2001,ID934
Towards knowledge-based digital libraries,"Ling Feng, Marfred A. Jeusfeld, Jeroen Hoppenbrouwers",ACM SIGMOD Record ,2001,ID939
Quality of service in multimedia digital libraries,"Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Sa&#239;d Hacid",ACM SIGMOD Record ,2001,ID938
Infosphere project: system support for information flow applications,"Calton Pu, Karsten Schwan, Jonathan Walpole",ACM SIGMOD Record ,2001,ID937
Report on NGITS'99: The fourth international workshop on next generation information technologies and systems,Opher Etzion,ACM SIGMOD Record ,1999,ID977
Comparative analysis of five XML query languages,"Angela Bonifati, Stefano Ceri",ACM SIGMOD Record ,2000,ID969
Design and management of data warehouses report on the DMDW'99 workshop,"Stella Gatziu, Manfred Jeusfeld, Martin Staudt, Yannis Vassiliou",ACM SIGMOD Record ,1999,ID973
Beyond document similarity: understanding value-based search and browsing technologies,"Andreas Paepcke, Hector Garcia-Molina, Gerard Rodriguez-Mula, Junghoo Cho",ACM SIGMOD Record ,2000,ID970
Timer-driven database triggers and alerters: semantics and a challenge,"Eric N. Hanson, Lloyd X. Noronha",ACM SIGMOD Record ,1999,ID978
Diluting ACID,"Tim Kempster, Colin Stirling, Peter Thanisch",ACM SIGMOD Record ,1999,ID974
"Some remarks on variable independence, closure, and orthographic dimension in constraint databases",Leonid Libkin,ACM SIGMOD Record ,1999,ID979
On views and XML,Serge Abiteboul,ACM SIGMOD Record ,1999,ID980
The MLPQ/GIS constraint database system,"Peter Revesz, Rui Chen, Pradip Kanjamala, Yiming Li, Yuguo Liu, Yonghui Wang",International Conference on Management of Data,2000,ID160
Evolution and change in data management - issues and directions,"John F. Roddick, Lina Al-Jadir, Leopoldo Bertossi, Marlon Dumas, Florida Estrella, Heidi Gregersen, Kathleen Hornsby, Jens Lufter, Federica Mandreoli, Tomi M&#228;nnist&#246;, Enric Mayol, Lex Wedemeijer",ACM SIGMOD Record ,2000,ID964
Generating dynamic content at database-backed web servers: cgi-bin vs. mod_perl,"Alexandros Labrinidis, Nick Roussopoulos",ACM SIGMOD Record ,2000,ID965
Hierarchies and relative operators in the OLAP environment,"Elaheh Pourabbas, Maurizio Rafanelli",ACM SIGMOD Record ,2000,ID966
An optimisation scheme for coalesce/valid time selection operator sequences,Costas Vassilakis,ACM SIGMOD Record ,2000,ID967
Incremental maintenance of recursive views using relational calculus/SQL,"Guozhu Dong, Jianwen Su",ACM SIGMOD Record ,2000,ID971
An extensible compressor for XML data,"Hartmut Liefke, Dan Suciu",ACM SIGMOD Record ,2000,ID968
SQL standardization: the next steps,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record ,2000,ID972
Emancipating instances from the tyranny of classes in information modeling,"Jeffrey Parsons, Yair Wand",ACM Transactions on Database Systems (TODS) ,2000,ID1251
Tracing the lineage of view data in a warehousing environment,"Yingwei Cui, Jennifer Widom, Janet L. Wiener",ACM Transactions on Database Systems (TODS) ,2000,ID1250
Report on ISDO '00: the CAiSE*00 workshop on infrastructures for dynamic business-to-business service outsourcing,"Heiko Ludwig, Paul Grefen",ACM SIGMOD Record ,2000,ID957
Workshop on performance and architecture of web servers,"Krishna Kant, Prasant Mohapatra",ACM SIGMOD Record ,2000,ID2204
Provision of market services for eCo compliant electronic marketplaces,"Sena Arpinar, Asuman Dogac",ACM SIGMOD Record ,2000,ID959
Report on second international workshop on advanced issues of E-commerce and Web-based information systems,"Kun-Lung Wu, Philip S. Yu",ACM SIGMOD Record ,2000,ID958
Generating spatiotemporal datasets on the WWW,"Yannis Theodoridis, Mario A. Nascimento",ACM SIGMOD Record ,2000,ID954
Spatial operators,"Eliseo Clementini, Paolino Di Felice",ACM SIGMOD Record ,2000,ID960
Practical lessons in supporting large-scale computational science,"Ron Musick, Terence Critchlow",ACM SIGMOD Record ,1999,ID981
FinTime: a financial time series benchmark,"Kaippallimalil J. Jacob, Dennis Shasha",ACM SIGMOD Record ,1999,ID975
A survey of logical models for OLAP databases,"Panos Vassiliadis, Timos Sellis",ACM SIGMOD Record ,1999,ID976
SQLJ  Part 1: SQL routines using the Java programming language,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record ,1999,ID982
Iterative dynamic programming: a new class of query optimization algorithms,"Donald Kossmann, Konrad Stocker",ACM Transactions on Database Systems (TODS) ,2000,ID1253
A foundation for representing and querying moving objects,"Ralf Hartmut G&#252;ting, Michael H. B&#246;hlen, Martin Erwig, Christian S. Jensen, Nikos A. Lorentzos, Markus Schneider, Michalis Vazirgiannis",ACM Transactions on Database Systems (TODS) ,2000,ID1255
A cost model for query processing in high dimensional data spaces,Christian B&#246;hm,ACM Transactions on Database Systems (TODS) ,2000,ID1252
A model for compound type changes encountered in schema evolution,Barbara Staudt Lerner,ACM Transactions on Database Systems (TODS) ,2000,ID1254
Book reviews,Karl Aberer,ACM SIGMOD Record ,2002,
Book review column,Karl Aberer,ACM SIGMOD Record ,2002,ID863
Clustering validity checking methods: part II,"Maria Halkidi, Yannis Batistakis, Michalis Vazirgiannis",ACM SIGMOD Record ,2002,ID861
A study on the management of semantic transaction for efficient data retrieval,"Shi Ming Huang, Irene Kwan, Chih He Li",ACM SIGMOD Record ,2002,ID862
Database principles,Leonid Libkin,ACM SIGMOD Record ,2002,
Automata theory for XML researchers,Frank Neven,ACM SIGMOD Record ,2002,ID864
Introduction to constraint databases,Bart Kuijpers,ACM SIGMOD Record ,2002,ID2182
Foundations of statistical natural language processing,Gerhard Weikum,ACM SIGMOD Record ,2002,ID868
Industry perspectives,Len Seligman,ACM SIGMOD Record ,2002,
Toward autonomic computing with DB2 universal database,"Sam S. Lightstone, Guy Lohman, Danny Zilio",ACM SIGMOD Record ,2002,ID869
Distinguished DB profiles,Marianne Winslett,ACM SIGMOD Record ,2002,
"Hector Garcia-Molina speaks out: regarding startups, how life is getting harder, delta papers, CS in Mexico, life as a department chair, and more",Marianne Winslett,ACM SIGMOD Record ,2002,ID2222
Standards,Jim Melton,ACM SIGMOD Record ,2002,
SQL/MED: a status report,"Jim Melton, Jan Eike Michels, Vanja Josifovski, Krishna Kulkarni, Peter Schwarz",ACM SIGMOD Record ,2002,ID871
Influential papers,Ken Ross,ACM SIGMOD Record ,2002,
Reminiscences on influential papers,"Kenneth A. Ross, Theodore Johnson, Richard Thomas Snodgrass",ACM SIGMOD Record ,2002,ID870
Top-k selection queries over relational databases: Mapping strategies and performance evaluation,"Nicolas Bruno, Surajit Chaudhuri, Luis Gravano",ACM Transactions on Database Systems (TODS) ,2002,ID1234
Combining fuzzy information: an overview,Ronald Fagin,ACM SIGMOD Record ,2002,ID880
Database principles,Leonid Libkin,ACM SIGMOD Record ,2002,
SQL/XML is making good progress,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record ,2002,ID887
Searching for dependencies at multiple abstraction levels,"Toon Calders, Raymond T. Ng, Jef Wijsen",ACM Transactions on Database Systems (TODS) ,2002,ID1230
Editorial directons,Won Kim,ACM Transactions on Database Systems (TODS) ,1995,
Editorial: Charter and scope,Won Kim,ACM Transactions on Database Systems (TODS) ,1995,
Locally adaptive dimensionality reduction for indexing large time series databases,"Kaushik Chakrabarti, Eamonn Keogh, Sharad Mehrotra, Michael Pazzani",ACM Transactions on Database Systems (TODS) ,2002,ID1233
Searching in metric spaces with user-defined and approximate distances,"Paolo Ciaccia, Marco Patella",ACM Transactions on Database Systems (TODS) ,2002,ID1228
Understanding the global semantics of referential actions using logic rules,"Wolfgang May, Bertram Lud&#228;scher",ACM Transactions on Database Systems (TODS) ,2002,ID1227
Cost models for overlapping and multiversion structures,"Yufei Tao, Dimitris Papadias, Jun Zhang",ACM Transactions on Database Systems (TODS) ,2002,ID1232
Fast incremental maintenance of approximate histograms,"Phillip B. Gibbons, Yossi Matias, Viswanath Poosala",ACM Transactions on Database Systems (TODS) ,2002,ID1231
The cougar approach to in-network query processing in sensor networks,"Yong Yao, Johannes Gehrke",ACM SIGMOD Record ,2002,ID867
Articles,Avigdor Gal,ACM SIGMOD Record ,2002,
Treasurer's message,Joachim Hammer,ACM SIGMOD Record ,2002,ID866
SilkRoute: A framework for publishing relational data in XML,"Mary Fern&#225;ndez, Yana Kadiyska, Dan Suciu, Atsuyuki Morishima, Wang-Chiew Tan",ACM Transactions on Database Systems (TODS) ,2002,ID1229
The Ecobase project: database and web technologies for environmental information systems,"Luc Bouganim, Maria Claudia Cavalcanti, Fran&#231;oise Fabret, Maria Luiza Campos, Fran&#231;ois Llirbat, Marta Mattoso, Rubens Melo, Ana Maria Moura, Esther Pacitti, Fabio Porto, Margareth Simoes, Eric Simon, Asterio Tanaka, Patrick Valduriez",ACM SIGMOD Record ,2001,ID931
Data analysis and mining in the life sciences,Nam Huyn,ACM SIGMOD Record ,2001,ID921
Influential papers,Ken Ross,ACM SIGMOD Record ,2001,
Reminiscences on influential papers,Kenneth A. Ross,ACM SIGMOD Record ,2001,ID932
Continuous queries over data streams,"Shivnath Babu, Jennifer Widom",ACM SIGMOD Record ,2001,ID922
Career forum,Alexandros Labrinidis,ACM SIGMOD Record ,2001,
Career-enhancing services at SIGMOD online,"Alexandros Labrinidis, Alberto O. Mendelzon",ACM SIGMOD Record ,2001,ID923
Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record ,2001,ID940
Special section on data mining for intrusion detection and threat analysis,Daniel Barbar&#225;,ACM SIGMOD Record ,2001,
Special issue on data mining for intrusion detection and threat analysis,Daniel Barbar&#225;,ACM SIGMOD Record ,2001,ID911
Data mining-based intrusion detectors: an overview of the columbia IDS project,"Salvatore J. Stolfo, Wenke Lee, Philip K. Chan, Wei Fan, Eleazar Eskin",ACM SIGMOD Record ,2001,ID906
ADAM: a testbed for exploring the use of data mining in intrusion detection,"Daniel Barbar&#225;, Julia Couto, Sushil Jajodia, Ningning Wu",ACM SIGMOD Record ,2001,ID907
Detection and classification of intrusions and faults using sequences of system calls,"Jo&#227;o B. D. Cabrera, Lundy Lewis, Raman K. Mehra",ACM SIGMOD Record ,2001,ID908
Mining system audit data: opportunities and challenges,"Wenke Lee, Wei Fan",ACM SIGMOD Record ,2001,ID912
Using unknowns to prevent discovery of association rules,"Y&#252;cel Saygin, Vassilios S. Verykios, Chris Clifton",ACM SIGMOD Record ,2001,ID913
Mining e-mail content for author identification forensics,"O. de Vel, A. Anderson, M. Corney, G. Mohay",ACM SIGMOD Record ,2001,ID914
Interviewing during a tight job market,"Zachary G. Ives, Qiong Luo",ACM SIGMOD Record ,2002,ID872
Career forum,Alexandros Labrinidis,ACM SIGMOD Record ,2002,
Database research at the University of Illinois at Urbana-Champaign,"M. Winslett, K. Chang, A. Doan, J. Han, C. Zhai, Y. Zhou",ACM SIGMOD Record ,2002,ID865
Research centers,Amit Sheth,ACM SIGMOD Record ,2002,
Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record ,2000,ID951
Research activities in database management and information retrieval at University of Illinois at Chicago,"Isabel Cruz, Ashfaq Khokhar, Bing Liu, Prasad Sistla, Ouri Wolfson, Clement Yu",ACM SIGMOD Record ,2002,ID873
XQuery formal semantics state and challenges,Peter Fankhauser,ACM SIGMOD Record ,2001,ID924
Advanced XML data processing: guest editor's introduction,Karl Aberer,ACM SIGMOD Record ,2001,ID919
Why and how to benchmark XML databases,"Albrecht Schmidt, Florian Waas, Martin Kersten, Daniela Florescu, Michael J. Carey, Ioana Manolescu, Ralph Busse",ACM SIGMOD Record ,2001,ID925
A general technique for querying XML documents using a relational database system,"Jayavel Shanmugasundaram, Eugene Shekita, Jerry Kiernan, Rajasekar Krishnamurthy, Efstratios Viglas, Jeffrey Naughton, Igor Tatarinov",ACM SIGMOD Record ,2001,ID920
On database theory and XML,Dan Suciu,ACM SIGMOD Record ,2001,ID927
Wrapping web data into XML,"Wei Han, David Buttler, Calton Pu",ACM SIGMOD Record ,2001,ID926
"Preservation of digital data with self-validating, self-instantiating knowledge-based archives","Bertram Lud&#228;scher, Richard Marciano, Reagan Moore",ACM SIGMOD Record ,2001,ID929
XML document versioning,"Shu Yao Chien, Vassilis J. Tsotras, Carlo Zaniolo",ACM SIGMOD Record ,2001,ID928
The evolution of effective B-tree: page organization and techniques: a personal account,David Lomet,ACM SIGMOD Record ,2001,ID930
Articles,Avigdor Gal,ACM SIGMOD Record ,2001,
The aditi deductive database system,"Jayen Vaghani, Kotagiri Ramamohanarao, David B. Kemp, Zoltan Somogyi, Peter J. Stuckey, Tim S. Leask, James Harland",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2109
Efficiently instantiating view-objects from remote relational databases,"Byung Suk Lee, Gio Wiederhold",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2114
The CORAL deductive system,"Raghu Ramakrishnan, Divesh Srivastava, S. Sudarshan, Praveen Seshadri",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2108
DECLARE and SDS: early efforts to commercialize deductive database technology,"Werner Kie&#223;ling, Helmut Schmidt, Werner Strau&#223;, Gerhard D&#252;nzinger",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2106
An introduction to deductive database languages and systems,"Kotagiri Ramamohanarao, James Harland",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2105
"The glue-nail deductive database system: design, implementation, and evaluation","Marcia A. Derr, Shinichi Morishita, Geoffrey Phipps",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2107
Versioning and configuration management in an object-oriented data model,Edward Sciore,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2113
Special issue on prototypes of deductive database systems,K. Ramamohanarao,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,
Qualitative representation of spatial knowledge in two-dimensional space,"Dimitris Papadias, Timos Sellis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2103
The TV-tree: an index structure for high-dimensional data,"King Ip Lin, H. V. Jagadish, Christos Faloutsos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2104
Management of multidimensional discrete data,Peter Baumann,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2102
A semantic modeling approach for image retrieval by content,"Wesley W. Chu, Ion T. Ieong, Ricky K. Taira",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2101
Special issue on spatial database systems,H. J. Schek,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2214
An introduction to spatial database systems,Ralf Hartmut G&#252;ting,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2100
The demarcation protocol: a technique for maintaining constraints in distributed database systems,"Daniel Barbar&#225;-Mill&#225;, Hector Garcia-Molina",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2115
Index configuration in object-oriented databases,Elisa Bertino,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2116
SQL multimedia and application packages (SQL/MM),"Jim Melton, Andrew Eisenberg",ACM SIGMOD Record ,2001,ID915
Standards,Andrew Eisenberg,ACM SIGMOD Record ,2001,
Describing semistructured data,Luca Cardelli,ACM SIGMOD Record ,2001,ID910
Database principles,Leonid Libkin,ACM SIGMOD Record ,2001,
Information warfare and security,H. V. Jagadish,ACM SIGMOD Record ,2001,ID2186
"Transactional information systems: theory, algorithms, and the practice of concurrency control and recovery",Marc H. Scholl,ACM SIGMOD Record ,2001,ID2220
Book review column,Karl Aberer,ACM SIGMOD Record ,2001,ID909
Book reviews,Karl Aberer,ACM SIGMOD Record ,2001,
A pattern-based object calculus,"Nabil Kamel, Ping Wu, Stanley Y. W. Su",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2112
Dynamic maintenance of data distribution for selectivity estimation,"Kyu Young Whang, Sang Wook Kim, Gio Wiederhold",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2111
Chronological scheduling of transactions with temporal dependencies,"Dimitrios Georgakopoulos, Marek Rusinkiewicz, Witold Litwin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994,ID2110
Research in multi-organizational processes and semantic information brokering at the LSDIS lab,"Amit Sheth, John Miller, Krys Kochut, Budak Arpinar",ACM SIGMOD Record ,2001,ID918
Research centers,Amit Sheth,ACM SIGMOD Record ,2001,
On the academic interview circuit: an end-to-end discussion,U&#287;ur &#199;etintemel,ACM SIGMOD Record ,2001,ID917
Career forum,Alexandros Labrinidis,ACM SIGMOD Record ,2001,ID2223
Java support for data-intensive systems: experiences building the telegraph dataflow system,"Mehul A. Shah, Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein",ACM SIGMOD Record ,2001,ID916
Special section on semantic web and data management,"Robert Meersman, Amit Sheth",ACM SIGMOD Record ,2002,
Data modelling versus ontology engineering,"Peter Spyns, Robert Meersman, Mustafa Jarrar",ACM SIGMOD Record ,2002,ID844
Methodology for development and employment of ontology based knowledge management applications,"York Sure, Steffen Staab, Rudi Studer",ACM SIGMOD Record ,2002,ID852
A conceptual architecture for semantic web enabled web services,"Christoph Bussler, Dieter Fensel, Alexander Maedche",ACM SIGMOD Record ,2002,ID845
Sleepers and workaholics: caching strategies in mobile environments (extended version),"Daniel Barbar&#225;, Tomasz Imieli&#324;ski",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2083
AlphaSort: a cache-sensitive parallel external sort,"Chris Nyberg, Tom Barclay, Zarka Cvetanovic, Jim Gray, Dave Lomet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2081
QuickStore: a high performance mapped object store,"Seth J. White, David J. DeWitt",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2084
Estimating page fetches for index scans with finite LRU buffers,"Arun Swami, K. Bernhard Schiefer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2082
Emergent semantics and the multimedia semantic web,"W. I. Grosky, D. V. Sreenath, F. Fotouhi",ACM SIGMOD Record ,2002,ID848
Querying multiple bioinformatics information sources: can semantic web research help?,"David Buttler, Matthew Coleman, Terence Critchlow, Renato Fileto, Wei Han, Calton Pu, Daniel Rocco, Li Xiong",ACM SIGMOD Record ,2002,ID855
The Grid: an application of the semantic web,"Carole Goble, David De Roure",ACM SIGMOD Record ,2002,ID856
Book reviews,Karl Aberer,ACM SIGMOD Record ,2002,
"Agents, trust, and information access on the semantic web","Tim Finin, Anupam Joshi",ACM SIGMOD Record ,2002,ID853
Conceptual model of web service reputation,"E. Michael Maximilien, Munindar P. Singh",ACM SIGMOD Record ,2002,ID846
The &#961; operator: discovering and ranking associations on the semantic web,"Kemafor Anyanwu, Amit Sheth",ACM SIGMOD Record ,2002,ID854
A framework for semantic gossiping,"Karl Aberer, Philippe Cudr&#233;-Mauroux, Manfred Hauswirth",ACM SIGMOD Record ,2002,ID847
Updating knowledge bases while maintaining their consistency,"Ernest Teniente, Antoni Oliv&#233;",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2093
Data model for extensible support of explicit relationships in design databases,"Joan Peckham, Bonnie MacKellar, Michael Doherty",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2092
InterViso: dealing with the complexity of federated database access,"Marjorie Templeton, Herbert Henley, Edward Maros, Darrel J. Van Buer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2095
Realm-based spatial data types: the ROSE algebra,"Ralf Hartmut G&#252;ting, Markus Schneider",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2094
HyperFile: a data and query model for documents,"Chris Clifton, Hector Garcia-Molina, David Bloom",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2098
The software information base: a server for reuse,"Panos Constantopoulos, Matthias Jarke, John Mylopoulos, Yannis Vassiliou",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2097
Characterization of database access pattern for analytic prediction of buffer hit probability,"Asit Dan, Philip S. Yu, Jen Yao Chung",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2096
Ordered shared locks for real-time databases,"Divyakant Agrawal, Amr El Abbadi, Richard Jeffers, Lijing Lin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2099
Historical queries along multiple lines of time evolution,"Gad M. Landau, Jeanette P. Schmidt, Vassilis J. Tsotras",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2085
"Adaptable pointer swizzling strategies in object bases: design, realization, and quantitative analysis","Alfons Kemper, Donald Kossmann",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2091
Special system-oriented section: the best of SIGMOD '94,Stanley Y. W. Su,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,
The power of languages for the manipulation of complex values,"Serge Abiteboul, Catriel Beeri",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2086
Fibonacci: a programming language for object databases,"Antonio Albano, Giorgio Ghelli, Renzo Orsini",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2087
Orthogonally persistent object systems,"Malcolm Atkinson, Ronald Morrison",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2088
Themis: a database programming language handling integrity constraints,"V&#233;ronique Benzaken, Anne Doucet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2090
Tigukat: a uniform behavioral objectbase management system,"M. Tamer &#214;zsu, Randal Peters, Duane Szafron, Boman Irani, Anna Lipka, Adriana Mu&#241;oz",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995,ID2089
Rate-based query optimization for streaming information sources,"Stratis D. Viglas, Jeffrey F. Naughton",International Conference on Management of Data,2002,ID735
An adaptive peer-to-peer network for distributed caching of OLAP results,"Panos Kalnis, Wee Siong Ng, Beng Chin Ooi, Dimitris Papadias, Kian-Lee Tan",International Conference on Management of Data,2002,ID696
Efficient integration and aggregation of historical information,"Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",International Conference on Management of Data,2002,ID695
Archiving scientific data,"Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",International Conference on Management of Data,2002,ID694
Efficient evaluation of queries in a mediator for WebSources,"Vladimir Zadorozhny, Louiqa Raschid, Maria Esther Vidal, Tolga Urhan, Laura Bright",International Conference on Management of Data,2002,ID699
Best-effort cache synchronization with source cooperation,"Chris Olston, Jennifer Widom",International Conference on Management of Data,2002,ID698
Processing complex aggregate queries over data streams,"Alin Dobra, Minos Garofalakis, Johannes Gehrke, Rajeev Rastogi",International Conference on Management of Data,2002,ID736
Continuously adaptive continuous queries over streams,"Samuel Madden, Mehul Shah, Joseph M. Hellerstein, Vijayshankar Raman",International Conference on Management of Data,2002,ID697
Reports,Avigdor Gal,ACM SIGMOD Record ,2002,
Reminiscences on influential papers,Kenneth A. Ross,ACM SIGMOD Record ,2002,ID903
Influential papers,Ken Ross,ACM SIGMOD Record ,2002,
Too much middleware,Michael Stonebraker,ACM SIGMOD Record ,2002,ID902
Why I like working in academia,Richard Thomas Snodgrass,ACM SIGMOD Record ,2002,ID905
Career forum,Alexandros Labrinidis,ACM SIGMOD Record ,2002,
Advances in databases and information systems: report of 5th East European Conference ADBIS'2001,"Albertas Caplinskas, Johann Eder, Olegas Vasilecas",ACM SIGMOD Record ,2002,ID2210
Report on the 18th British National Conference on Databases (BNCOD),"Carole Goble, Brian Read",ACM SIGMOD Record ,2002,ID904
What will be,Michael Dertouzos,ACM SIGMOD Record ,2002,ID2215
Distinguished database profiles,Marianne Winslett,ACM SIGMOD Record ,2002,
Databases and transaction processing: an application-oriented approach,"Philip M. Lewis, Arthur Bernstein, Michael Kifer",ACM SIGMOD Record ,2002,ID893
Data mining: practical machine learning tools and techniques with Java implementations,"Ian H. Witten, Eibe Frank",ACM SIGMOD Record ,2002,ID2195
The XML typechecking problem,Dan Suciu,ACM SIGMOD Record ,2002,ID901
Industry perspective,Len Seligman,ACM SIGMOD Record ,2002,
"Avi Silberschatz speaks out: on academia versus industrial labs, startup fever, database PhD quality, the future of data mining as a research area, IP issues, how he wouldn't change a thing, and more",Marianne Winslett,ACM SIGMOD Record ,2002,
Database principles,Leonid Libkin,ACM SIGMOD Record ,2002,
Business data management for business-to-business electronic commerce,"Christoph Quix, Mareike Schoop, Manfred Jeusfeld",ACM SIGMOD Record ,2002,ID898
A multi-agent system infrastructure for software component market-place: an ontological perspective,"Riza Cenk Erdur, O&#287;uz Dikenelli",ACM SIGMOD Record ,2002,ID891
Conceptual modeling and specification generation for B2B business processes based on ebXML,HyoungDo Kim,ACM SIGMOD Record ,2002,ID890
Semantic B2B integration: issues in ontology-based approaches,"Zhan Cui, Dean Jones, Paul O'Brien",ACM SIGMOD Record ,2002,ID897
Book reviews,Karl Aberer,ACM SIGMOD Record ,2002,
Book review column,Karl Aberer,ACM SIGMOD Record ,2002,ID892
Supply chain infrastructures: system integration and information sharing,"Michael O. Ball, Meng Ma, Louiqa Raschid, Zhengying Zhao",ACM SIGMOD Record ,2002,ID899
The role of B2B engines in B2B integration architectures,Christoph Bussler,ACM SIGMOD Record ,2002,ID900
Clustering by pattern similarity in large data sets,"Haixun Wang, Wei Wang, Jiong Yang, Philip S. Yu",International Conference on Management of Data,2002,ID710
General match: a subsequence matching method in time-series databases based on generalized windows,"Yang-Sae Moon, Kyu-Young Whang, Wook-Shin Han",International Conference on Management of Data,2002,ID709
A Monte Carlo algorithm for fast projective clustering,"Cecilia M. Procopiuc, Michael Jones, Pankaj K. Agarwal, T. M. Murali",International Conference on Management of Data,2002,ID711
Mining long sequential patterns in a noisy environment,"Jiong Yang, Wei Wang, Philip S. Yu, Jiawei Han",International Conference on Management of Data,2002,ID752
Selectivity estimation for spatio-temporal queries to moving objects,"Yong-Jin Choi, Chin-Wan Chung",International Conference on Management of Data,2002,ID753
Dynamic multidimensional histograms,"Nitin Thaper, Sudipto Guha, Piotr Indyk, Nick Koudas",International Conference on Management of Data,2002,ID712
Dwarf: shrinking the PetaCube,"Yannis Sismanis, Antonios Deligiannakis, Nick Roussopoulos, Yannis Kotidis",International Conference on Management of Data,2002,ID714
"Hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search",Charu C. Aggarwal,International Conference on Management of Data,2002,ID713
Efficient algorithms for minimizing tree pattern queries,Prakash Ramanan,International Conference on Management of Data,2002,ID706
Approximate XML joins,"Sudipto Guha, H. V. Jagadish, Nick Koudas, Divesh Srivastava, Ting Yu",International Conference on Management of Data,2002,ID747
Efficient k-NN search on vertically decomposed data,"Arjen P. de Vries, Nikos Mamoulis, Niels Nes, Martin Kersten",International Conference on Management of Data,2002,ID707
Holistic twig joins: optimal XML pattern matching,"Nicolas Bruno, Nick Koudas, Divesh Srivastava",International Conference on Management of Data,2002,ID748
Minimal probing: supporting expensive predicates for top-k queries,"Kevin Chen-Chuan Chang, Seung-won Hwang",International Conference on Management of Data,2002,ID750
Time-parameterized queries in spatio-temporal databases,"Yufei Tao, Dimitris Papadias",International Conference on Management of Data,2002,ID749
Continually evaluating similarity-based pattern queries on a streaming time series,"Like Gao, X. Sean Wang",International Conference on Management of Data,2002,ID708
